"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-05","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.189","","","","3"
"1991-06","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","25.001","","","","3"
"1991-06","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","3.433","","","","3"
"1991-06","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.265","","","","3"
"1991-06","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.292","","","","3"
"1991-06","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.191","","","","3"
"1991-06","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.685","","","","3"
"1991-06","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","7.262","","","","3"
"1991-06","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","5.888","","","","3"
"1991-06","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.226","","","","3"
"1991-06","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.475","","","","3"
"1991-06","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.477","","","","3"
"1991-06","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","3.274","","","","3"
"1991-06","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.192","","","","3"
"1991-07","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","27.283","","","","3"
"1991-07","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","5.050","","","","3"
"1991-07","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.473","","","","3"
"1991-07","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.243","","","","3"
"1991-07","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.805","","","","3"
"1991-07","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.529","","","","3"
"1991-07","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","6.863","","","","3"
"1991-07","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","7.815","","","","3"
"1991-07","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.220","","","","3"
"1991-07","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.499","","","","3"
"1991-07","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.475","","","","3"
"1991-07","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.246","","","","3"
"1991-07","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.335","","","","3"
"1991-08","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","28.735","","","","3"
"1991-08","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","5.588","","","","3"
"1991-08","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.850","","","","3"
"1991-08","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.155","","","","3"
